"review_url_src";"review_stars";"review_title";"review_thoughts";"review_author";"review_date";"review_verified";"review_tup";"review_tdown";"review_collected_date";"predicted_sentiment";"sentiment_category";"keywords"
"https://www.dermstore.com/skinmedica-ultra-sheer-moisturizer/11289690.html";"5";"SkinMedica Ultra Sheer";"I have been using this moisturizer for years on my mature, oily skin. I love it.";"Julie";"6/23/23";"True";"0";"0";"2023-07-10";"{'label': 'POSITIVE', 'score': 0.9184067845344543, 'elapsed_time': 0.8794734477996826}";"POSITIVE";"['oily skin', 'years', 'using', 'moisturizer', 'mature', 'love']"
"https://www.dermstore.com/skinmedica-ultra-sheer-moisturizer/11289690.html";"4";"Love this!";"I have dry skin and this moisturizer is not thick but does an amazing job. I do layer it with vitamin C and hyaluronic acid serum but it’s so cooling and helps your skin glow. It does last a good 4-6 months depending how much you use but your really don’t need a lot!";"Olivia";"6/8/23";"True";"0";"0";"2023-07-10";"{'label': 'POSITIVE', 'score': 0.8683931827545166, 'elapsed_time': 0.12453150749206543}";"POSITIVE";"['hyaluronic acid serum', '6 months depending', 'vitamin c', 'skin glow', 'good 4', 'dry skin', 'amazing job', '’', '’', 'use', 'thick', 'really', 'need', 'much', 'moisturizer', 'lot', 'layer', 'last', 'helps', 'cooling']"
"https://www.dermstore.com/skinmedica-ultra-sheer-moisturizer/11289690.html";"3";"Nothing special";"Average moisturizer. There are much better products/brands out there for less. I didn't notice a difference in my skin after using this for a couple months.";"Melanie";"6/1/23";"False";"0";"0";"2023-07-10";"{'label': 'POSITIVE', 'score': 0.579805850982666, 'elapsed_time': 0.12828588485717773}";"POSITIVE";"['much better products', 'couple months', 'average moisturizer', 'using', 'skin', 'notice', 'less', 'difference', 'brands']"
"https://www.dermstore.com/skinmedica-ultra-sheer-moisturizer/11289690.html";"5";"Highly recommend";"Great for the summer months! Perfect for a am moisturizer. Very light and does not make my skin greasy. Very lightweight not for anyone with dry skin.";"Shannon";"5/28/23";"True";"0";"0";"2023-07-10";"{'label': 'POSITIVE', 'score': 0.8850699663162231, 'elapsed_time': 0.12750506401062012}";"POSITIVE";"['summer months', 'skin greasy', 'dry skin', 'perfect', 'moisturizer', 'make', 'lightweight', 'light', 'great', 'anyone']"
"https://www.dermstore.com/skinmedica-ultra-sheer-moisturizer/11289690.html";"5";"Love this stuff";"This is the best moisturizer for my difficult skin - only one I have found that doesn’t make me break out!";"Kelsey";"5/3/23";"True";"0";"0";"2023-07-10";"{'label': 'POSITIVE', 'score': 0.9806736707687378, 'elapsed_time': 0.1632249355316162}";"POSITIVE";"['difficult skin', 'best moisturizer', '’', 'one', 'make', 'found', 'break']"
"https://www.dermstore.com/skinmedica-ultra-sheer-moisturizer/11289690.html";"5";"Good lotion";"Good quality, I switched to this brand and will repurchase";"Emily";"4/23/23";"True";"0";"0";"2023-07-10";"{'label': 'POSITIVE', 'score': 0.6388689875602722, 'elapsed_time': 0.15445542335510254}";"POSITIVE";"['good quality', 'switched', 'repurchase', 'brand']"
"https://www.dermstore.com/skinmedica-ultra-sheer-moisturizer/11289690.html";"5";"Perfect amount of moisture and no breakouts!";"Although this is a very light moisturizer I love it under suncreen and under makeup. I use it everyday and do not breakout at all! And I have very acne prone skin. I use this at night after putting on SM retinol 1.0 and then again in the morning after I was my face. Its a super light cream and my skin sucks it up. There is no oily-ness whatsoever. The only downside is I need quite a bit as my skin really drinks it up. Overall its a perfect daily moisture that is so light weight I feel like I can workout in it and it will not cause me a breakout. I like it under my eyes before makeup as it doesnt cause my mascara to run but at night I like to use something with a heavier moisturizer under my eyes.";"Ciara";"4/20/23";"True";"0";"0";"2023-07-10";"{'label': 'POSITIVE', 'score': 0.9152652025222778, 'elapsed_time': 0.16847681999206543}";"POSITIVE";"['sm retinol 1', 'perfect daily moisture', 'skin really drinks', 'acne prone skin', 'super light cream', 'skin sucks', 'light weight', 'light moisturizer', 'ness whatsoever', 'need quite', 'heavier moisturizer', 'doesnt cause', 'use something', 'feel like', 'cause', 'use', 'use', 'like', 'like', 'workout', 'suncreen', 'run', 'putting', 'overall', 'oily', 'night', 'night', 'morning', 'mascara', 'makeup', 'makeup', 'love', 'face', 'eyes', 'eyes', 'everyday', 'downside', 'breakout', 'breakout', 'bit', 'although', '0']"
"https://www.dermstore.com/skinmedica-ultra-sheer-moisturizer/11289690.html";"4";"Love!";"This product is light but more than enough to hydrate my face. It feels cooling as I’m putting it on and glides perfectly";"Olivia";"3/31/23";"True";"0";"0";"2023-07-10";"{'label': 'POSITIVE', 'score': 0.9719839096069336, 'elapsed_time': 0.14736056327819824}";"POSITIVE";"['glides perfectly', 'feels cooling', '’', 'putting', 'product', 'light', 'hydrate', 'face', 'enough']"
"https://www.dermstore.com/skinmedica-ultra-sheer-moisturizer/11289690.html";"5";"The lotion I keep buying";"This is constantly recommended to me by estie and friends alike. It's the lotion I just keep buying every time I run out. Very soothing. Even when using tret.";"BP";"3/18/23";"True";"0";"0";"2023-07-10";"{'label': 'POSITIVE', 'score': 0.9988144636154175, 'elapsed_time': 0.13382220268249512}";"POSITIVE";"['keep buying every time', 'using tret', 'friends alike', 'constantly recommended', 'soothing', 'run', 'lotion', 'even', 'estie']"
"https://www.dermstore.com/skinmedica-ultra-sheer-moisturizer/11289690.html";"4";"Good but not great";"I have very severe cosmetic allergies and this was on my SkinSafe list. While I think this is a really great product it is not as moisturizing as I felt it could be and left my skin a little on the dry side. Thankfully a few drops of face oil fixed that right up. I look forward to using this moisturizer more in the summer and in warmer temperatures.  Overall, a good product.";"Jackie";"3/18/23";"True";"0";"0";"2023-07-10";"{'label': 'POSITIVE', 'score': 0.9967346787452698, 'elapsed_time': 0.12507390975952148}";"POSITIVE";"['severe cosmetic allergies', 'face oil fixed', 'really great product', 'good product', 'warmer temperatures', 'skinsafe list', 'look forward', 'dry side', 'using', 'think', 'thankfully', 'summer', 'skin', 'right', 'overall', 'moisturizing', 'moisturizer', 'little', 'left', 'felt', 'drops', 'could']"
