"review_url_src";"review_stars";"review_title";"review_thoughts";"review_author";"review_date";"review_verified";"review_tup";"review_tdown";"review_collected_date"
"https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html";"4";"best facial sunscreen ever";"Game changer sunscreen, especially for those with oily skin. This sunscreen actually improves your skin by decreasing oil production and prevents blemishes. Just wish it wasn't so expensive.";"Brandi";"7/11/23";"True";"0";"0";"2023-07-20"
"https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html";"5";"Fantastic Sunscreen";"This is a great sunscreen for anyone with sensitive skin or skin issues. My husband has rosacea and I have Discoid lupus. It works great for both of us. Highly recommend.";"Danette";"7/7/23";"True";"0";"0";"2023-07-20"
"https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html";"5";"Good sunscreen moisturizer";"My only complaint is that it doesn’t feel like it lasts very long with proper application.";"Angelica";"7/6/23";"True";"0";"0";"2023-07-20"
"https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html";"5";"Sunscreen";"This sunscreen is very creamy and works into my skin very nicely.  It's a repeat sunscreen for me";"Lynn";"6/28/23";"True";"0";"0";"2023-07-20"
"https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html";"5";"Best facial sunscreen";"This does not make my skin feel oily. It leaves it with a fresh glow. Plus it helps prevent aging! Awesome products. always buying these.";"Cynthia";"6/28/23";"True";"0";"0";"2023-07-20"
"https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html";"5";"Favorite SPF";"This is my favorite SPF to use daily and I always have to keep it stocked up at home! I have tried so many different sunscreen brands and I love that this one is so lightweight. I recommend this to all my friends, family, and clients.";"Britt";"6/24/23";"True";"0";"0";"2023-07-20"
"https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html";"5";"Best sunscreen";"First time trying this sunscreen and I absolutely love it. Moisturizes and protects without leaving any white cast. Will definitely be my go to sunscreen.";"Audrey";"6/23/23";"True";"0";"0";"2023-07-20"
"https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html";"5";"Great value for great product";"I am always trying new sunscreens but this is the product I return to the most for daily wear and recommend the most to friends. I love the lotion texture and how easily it blends. It wears very elegantly with no pilling layered over products and doesn't have much of a scent. It doesn't clog pores and is also moisturizing enough for my dry skin. It is not cheap, but I do think it is a good value. The two pack makes it more so.";"Hallie";"6/23/23";"True";"0";"0";"2023-07-20"
"https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html";"5";"My daily go to";"I use this sunscreen every day and have for years. It's literally the best. It's light and moisturizing and doesn't leave a white cast.";"Ashley";"6/21/23";"True";"0";"0";"2023-07-20"
"https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html";"5";"Great product";"I love this product. I use it daily in the mornings and touch up during the day as needed if out in the sun. It’s lightweight, absorbs quickly, no white cast and it works. Great sunscreen!";"BL";"6/20/23";"True";"0";"0";"2023-07-20"
